epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.564,1.81541,1.18624,1.07422,0,0.00699,0.01347,0.15675,0.72071,12.3706,0.04009,0.01347,2.29671,2.28323,0.4515,0.06368,0.35145,0.43674,0.83287,0.7793,0.82335,0.49258,1.33175,0.63997,0.87629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49258,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,273.662,1.68846,1.02033,1.01036,0,0.00672,0.00239,0.15332,0.71942,2.63029,0.02496,0.00239,2.30678,2.30439,0.45408,0.06386,0.35175,0.44002,0.72517,0.63927,0.66687,0.37617,1.63726,0.80957,0.93708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37617,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,403.663,1.90177,1.19346,1.06029,0,0.00632,0.00281,0.15338,0.78082,2.50076,0.01435,0.00281,2.31829,2.31549,0.45994,0.06459,0.35532,0.44859,0.54553,0.49667,0.47777,0.22276,2.05602,1.31806,1.09334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22276,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,541.043,2.2212,1.52079,1.16264,0,0.00589,0.00387,0.15353,0.87544,2.51466,0.00898,0.00387,2.32189,2.31802,0.46117,0.06409,0.35176,0.45014,0.47144,0.36905,0.35231,0.14137,2.34709,1.60194,1.20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14137,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,671.495,2.22852,1.52174,1.16511,0,0.00556,0.00397,0.15354,0.88229,2.31879,0.00724,0.00397,2.323,2.31904,0.46435,0.06423,0.35433,0.45469,0.47488,0.37804,0.37201,0.16599,2.32693,1.64351,1.16439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16599,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,813.702,2.2278,1.5021,1.15843,0,0.00533,0.00396,0.15354,0.88138,2.19596,0.00654,0.00396,2.32281,2.31885,0.46323,0.06388,0.35466,0.45275,0.49182,0.37999,0.37234,0.16434,2.32404,1.51434,1.17244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16434,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,966.263,2.19083,1.46381,1.14702,0,0.00516,0.00386,0.15353,0.8722,2.05092,0.00609,0.00386,2.33435,2.33049,0.46332,0.06418,0.36231,0.4526,0.52629,0.44061,0.43658,0.19345,2.24184,1.40553,1.14078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19345,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1091.74,2.16323,1.42134,1.13557,0,0.00502,0.00392,0.15354,0.86269,1.91835,0.00582,0.00392,2.33797,2.33405,0.46361,0.06534,0.35852,0.45306,0.56199,0.48437,0.48958,0.22304,2.0955,1.29076,1.09436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22304,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1214.96,2.13313,1.38196,1.12085,0,0.0049,0.00378,0.15352,0.84242,1.82469,0.0056,0.00378,2.33692,2.33314,0.46502,0.06518,0.36355,0.45502,0.57348,0.47618,0.47665,0.22297,2.13527,1.30982,1.10558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22297,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1349.18,2.10269,1.3623,1.11277,0,0.00482,0.00386,0.15353,0.8471,1.75049,0.00541,0.00386,2.3414,2.33754,0.46832,0.06469,0.36824,0.46008,0.56728,0.48156,0.49253,0.22598,2.19363,1.30694,1.11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22598,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1487.48,2.09881,1.34187,1.10486,0,0.00472,0.00371,0.15351,0.84348,1.64243,0.00525,0.00371,2.33899,2.33528,0.4682,0.06528,0.36839,0.45966,0.60641,0.50465,0.51229,0.22551,2.13557,1.30827,1.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22551,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1621.16,2.082,1.31806,1.09351,0,0.00464,0.00372,0.15351,0.83842,1.54354,0.00511,0.00372,2.34078,2.33707,0.46405,0.06521,0.36866,0.45339,0.62038,0.55284,0.55741,0.26976,1.99368,1.13779,1.07012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26976,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,1753.2,2.0547,1.2957,1.09084,0,0.00458,0.00372,0.15351,0.82901,1.50157,0.005,0.00372,2.34859,2.34487,0.46569,0.06565,0.37429,0.4561,0.60806,0.50688,0.5228,0.24864,2.05157,1.18411,1.08019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24864,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,1886.49,2.03383,1.27006,1.07925,0,0.00453,0.00365,0.1535,0.82422,1.42481,0.00492,0.00365,2.3507,2.34706,0.46498,0.06666,0.37039,0.45498,0.579,0.52333,0.51781,0.24734,2.09772,1.2109,1.09154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24734,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2020.73,2.00847,1.24488,1.07209,0,0.00448,0.00371,0.15351,0.81384,1.38886,0.00478,0.00371,2.34816,2.34445,0.46845,0.06653,0.37944,0.4601,0.58434,0.52305,0.52337,0.26215,2.06801,1.29663,1.07476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26215,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,2140.17,1.99448,1.23404,1.0724,0,0.00444,0.00365,0.1535,0.81949,1.33349,0.00473,0.00365,2.34796,2.34431,0.47041,0.0658,0.38252,0.46341,0.667,0.55867,0.58665,0.29948,1.9445,1.09411,1.04695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29948,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,2258.84,1.97159,1.22014,1.06556,0,0.0044,0.00356,0.15349,0.8099,1.29138,0.00463,0.00356,2.35296,2.3494,0.4691,0.06712,0.3768,0.46164,0.64431,0.58425,0.59307,0.3032,1.92917,1.09391,1.03699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3032,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,2376.66,1.96356,1.19934,1.05773,0,0.00436,0.00345,0.15347,0.7977,1.2654,0.00456,0.00345,2.34804,2.34459,0.46755,0.0671,0.37761,0.45915,0.65376,0.58683,0.60767,0.31656,1.8835,1.05045,1.03147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31656,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2493.24,1.94873,1.18054,1.05418,0,0.00434,0.00359,0.15349,0.80365,1.24036,0.00448,0.00359,2.34361,2.34003,0.4729,0.06769,0.38496,0.46733,0.65625,0.56933,0.58498,0.30385,1.94883,1.08201,1.04272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30385,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,2610.13,1.93079,1.16552,1.04538,0,0.00431,0.00362,0.15349,0.80133,1.16724,0.00444,0.00362,2.3357,2.33208,0.46742,0.06818,0.37956,0.45916,0.6666,0.57911,0.59822,0.31254,1.93959,1.05658,1.03709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31254,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
