epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.1,1.8154,1.18621,1.07435,0,0,0,0,0,12.3483,0.03981,0,0,0,0.45075,0.06358,0.3508,0.43569,0.83598,0.77723,0.82505,0.49182,1.33325,0.64068,0.87568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49182,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,206.583,1.68845,1.02138,1.01097,0,0,0,0,0,2.68187,0.02459,0,0,0,0.45071,0.06342,0.35001,0.43529,0.74738,0.66914,0.70386,0.39711,1.57015,0.78975,0.92821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39711,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,305.697,1.91863,1.21639,1.06581,0,0,0,0,0,2.73182,0.01443,0,0,0,0.45069,0.06347,0.34873,0.43518,0.54013,0.44873,0.45086,0.20804,2.07262,1.37173,1.10409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20804,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,404.983,2.24777,1.55263,1.1748,0,0,0,0,0,3.11048,0.00913,0,0,0,0.45077,0.06349,0.34823,0.43523,0.42163,0.2863,0.26688,0.09834,2.38033,1.65852,1.23193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09834,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,507.926,2.30589,1.60823,1.19265,0,0,0,0,0,3.05165,0.00725,0,0,0,0.45059,0.06342,0.34826,0.43495,0.40582,0.31286,0.30117,0.12893,2.37136,2.67311,1.18643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12893,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,608.829,2.30423,1.59182,1.18765,0,0,0,0,0,2.91957,0.00648,0,0,0,0.45062,0.06348,0.3474,0.435,0.53796,0.2737,0.27855,0.11463,2.4631,1.68399,1.23528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11463,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,709.371,2.27597,1.55652,1.18199,0,0,0,0,0,2.8737,0.00607,0,0,0,0.45074,0.06352,0.34844,0.43516,0.49182,0.4291,0.4019,0.17113,2.23678,1.48691,1.15388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17113,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,807.556,2.25092,1.52956,1.17357,0,0,0,0,0,2.84386,0.0057,0,0,0,0.45078,0.06363,0.34699,0.43527,0.52041,0.38108,0.38969,0.177,2.29594,1.49824,1.17084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,905.601,2.22629,1.4914,1.16036,0,0,0,0,0,2.7048,0.00552,0,0,0,0.45071,0.06346,0.34689,0.43509,0.49125,0.41539,0.39998,0.17986,2.33895,1.47889,1.18556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17986,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1002.94,2.21195,1.47964,1.15426,0,0,0,0,0,2.68334,0.00526,0,0,0,0.45076,0.06362,0.34751,0.43532,0.51488,0.39499,0.39371,0.17259,2.3472,1.46323,1.17335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17259,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
