epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.586,2.05686,1.36742,1.13022,0,0,0,0,0,3.5671,0.04958,0,0,0,0.4943,0.06739,0.46234,0.49463,0.7475,0.64722,0.69336,0.41191,1.52385,0.82959,0.90983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41191,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,202.881,1.92828,1.19482,1.06223,0,0,0,0,0,0.66884,0.03526,0,0,0,0.49432,0.0674,0.46286,0.49466,0.683,0.5955,0.62295,0.35116,1.74325,0.96119,0.96151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35116,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,302.984,2.09724,1.35713,1.10192,0,0,0,0,0,0.62008,0.02098,0,0,0,0.49429,0.06739,0.46277,0.49463,0.48487,0.39228,0.3804,0.16791,2.23168,1.46872,1.14552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16791,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,403.91,2.32573,1.61768,1.18345,0,0,0,0,0,0.65856,0.01311,0,0,0,0.49432,0.06739,0.46305,0.49465,0.32402,0.20542,0.19113,0.07853,2.88297,2.28288,1.34997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07853,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,504.583,2.32444,1.61164,1.18621,0,0,0,0,0,0.64177,0.01022,0,0,0,0.49432,0.06745,0.4631,0.49467,0.40657,0.27701,0.26227,0.11216,2.70406,1.87619,1.25222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11216,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,601.534,2.31542,1.57417,1.17392,0,0,0,0,0,0.62897,0.00874,0,0,0,0.49429,0.06742,0.46374,0.49462,0.59212,0.33997,0.35822,0.16889,2.30749,1.54893,1.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16889,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,699.588,2.28205,1.54939,1.16837,0,0,0,0,0,0.61712,0.0078,0,0,0,0.49426,0.06744,0.46323,0.4946,0.49262,0.36157,0.35466,0.1513,2.34561,1.56338,1.17024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1513,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,796.491,2.25492,1.52075,1.15762,0,0,0,0,0,0.60799,0.00714,0,0,0,0.49429,0.06742,0.46293,0.49463,0.46614,0.41945,0.3982,0.18812,2.28085,1.50676,1.13892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18812,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,895.333,2.23398,1.48137,1.14531,0,0,0,0,0,0.59346,0.00666,0,0,0,0.49431,0.06744,0.46234,0.49466,0.41981,0.33619,0.31901,0.14928,2.53635,1.64581,1.21608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14928,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,995.573,2.21684,1.48578,1.1434,0,0,0,0,0,0.60076,0.00624,0,0,0,0.49429,0.06743,0.46318,0.49464,0.50015,0.42537,0.41498,0.19695,2.25965,1.46171,1.13292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19695,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
