epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,174.297,2.2287,2.16545,1.36164,0.34729,0.44562,0.32704,0.10829,2.37843,1.57834,1.16158,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,344.452,2.15257,1.46435,1.1492,0.3269,0.29352,0.20972,0.06733,2.43152,9.12798,1.26322,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,520.17,2.37198,1.67825,1.24872,0.1877,0.32679,0.09982,0.03213,2.65821,84.7004,1.3733,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,679.145,2.35835,1.66616,1.28336,0.4484,0.46257,0.38137,0.13897,2.29302,1.92062,1.26935,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,839.304,2.21949,1.50678,1.23573,0.4908,0.36781,0.34083,0.1302,2.23211,3.16242,1.22674,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,984.373,2.14437,1.39866,1.19226,0.61931,0.48055,0.50646,0.20715,2.08632,1.56193,1.15654,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1133.06,2.08001,1.33148,1.16505,0.62156,0.5775,0.56467,0.23867,1.9984,1.36901,1.11946,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1283.55,2.04224,1.29556,1.15007,0.58436,0.57155,0.55617,0.23174,2.02574,1.48759,1.12413,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1433.17,1.99657,1.23972,1.13488,0.6337,0.62266,0.61947,0.28042,1.93137,1.23221,1.10123,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1585.65,1.96546,1.19807,1.11499,0.68441,0.6101,0.63763,0.30202,1.849,1.09537,1.06607,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1740.88,1.91723,1.16482,1.11141,0.68908,0.62504,0.63851,0.28617,1.88078,1.15127,1.06968,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1891.82,1.91895,1.14559,1.09767,0.67833,0.6333,0.65509,0.30015,1.91475,1.16121,1.07019,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2047.94,1.90665,1.13799,1.08918,0.7182,0.65759,0.69854,0.32508,1.85553,1.07806,1.04728,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2202.64,1.88019,1.09881,1.07752,0.69324,0.62215,0.65788,0.30962,1.81869,1.02573,1.04577,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2353.29,1.85924,1.08914,1.07541,0.72778,0.67572,0.70611,0.33598,1.81505,1.04203,1.04307,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,2511.5,1.83649,1.06109,1.0681,0.7242,0.7129,0.73899,0.3567,1.75719,1.01494,1.03356,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,2665.95,1.85034,1.07207,1.06693,0.72594,0.69342,0.7112,0.33204,1.81902,1.05298,1.04113,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,2820.65,1.83636,1.04907,1.05463,0.68787,0.69353,0.68815,0.32522,1.82383,1.07828,1.03674,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2978.68,1.80701,1.02825,1.05415,0.75759,0.71586,0.74391,0.35953,1.79783,0.97439,1.03362,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,3142.19,1.79458,1.02323,1.05299,0.69687,0.72406,0.7276,0.35281,1.7433,0.98861,1.02351,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,3293.26,1.78166,1.00628,1.04951,0.76455,0.7349,0.75691,0.36983,1.72328,0.93616,1.0168,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,3445.47,1.77383,0.99016,1.04427,0.75607,0.72026,0.74804,0.36191,1.74187,0.94495,1.01743,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,3613.39,1.75808,0.98686,1.03965,0.7713,0.74413,0.76777,0.37425,1.73221,0.91728,1.01276,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,3794.82,1.76171,0.97028,1.03132,0.7786,0.75516,0.78164,0.39245,1.69336,0.9031,1.00544,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
25,3969.05,1.74056,0.95785,1.02933,0.74723,0.73187,0.74836,0.36956,1.76721,0.9439,1.01889,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
26,4153.72,1.74233,0.96508,1.03218,0.75302,0.71311,0.74273,0.36611,1.73952,0.93262,1.01358,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
27,4329.28,1.72119,0.95246,1.02129,0.7627,0.7269,0.75008,0.36954,1.68655,0.88854,0.99862,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
28,4507.39,1.71648,0.95598,1.02589,0.76778,0.75547,0.77762,0.38919,1.68255,0.87335,0.99959,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722
29,4683.93,1.72437,0.95201,1.02671,0.77427,0.75384,0.777,0.40289,1.64881,0.83463,0.99217,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
30,4863.03,1.71286,0.94139,1.01643,0.78561,0.7747,0.79961,0.40906,1.65304,0.84508,0.985,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,5040.8,1.69537,0.92663,1.01839,0.78496,0.77054,0.78878,0.41472,1.61906,0.82274,0.98219,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
32,5220.57,1.70284,0.93217,1.01367,0.79462,0.76767,0.80143,0.42127,1.60221,0.80482,0.98112,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337
33,5399.77,1.685,0.92071,1.01529,0.76498,0.76391,0.77994,0.39618,1.66324,0.86037,0.98875,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
34,5573.65,1.68707,0.92108,1.00997,0.79306,0.78315,0.80943,0.42066,1.62308,0.79526,0.9796,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849
35,5737.9,1.67792,0.90557,1.00497,0.79723,0.79158,0.80963,0.42021,1.60942,0.8008,0.97675,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
