epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.06,0.71678,0.35507,0.79875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46897,0.05918,0.37699,0.42489,0.91951,0.86351,0.90434,0.61806,1.07796,0.47092,0.84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61806,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,230.836,0.746,0.36664,0.80038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46896,0.05922,0.37669,0.42494,0.91344,0.85655,0.8991,0.60773,1.09097,0.47335,0.84711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60773,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
3,345.149,0.75389,0.36733,0.7987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46889,0.05923,0.37617,0.42493,0.91627,0.86034,0.89963,0.61347,1.05431,0.47237,0.84027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61347,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
4,461.812,0.76532,0.3729,0.80115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46892,0.05923,0.37671,0.42492,0.9224,0.86804,0.9051,0.62174,1.06029,0.4727,0.8441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62174,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
5,577.619,0.76256,0.37099,0.80147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46913,0.05908,0.3765,0.42483,0.90552,0.85313,0.89092,0.59747,1.11531,0.48693,0.84895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59747,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
6,691.439,0.7636,0.3726,0.80109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46904,0.05914,0.37659,0.42492,0.90464,0.85126,0.88821,0.58971,1.14529,0.48982,0.85367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58971,0.00299886,0.000999618,0.00299886,0.000999618,0.00299886,0.000999618,0.00299886,0.000999618
7,807.481,0.76967,0.3738,0.80073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46897,0.05918,0.37698,0.42485,0.91129,0.8562,0.89475,0.60819,1.08739,0.47661,0.84687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60819,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945
8,922.664,0.76446,0.37235,0.80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46894,0.05922,0.37701,0.42486,0.90496,0.85229,0.8935,0.60633,1.09029,0.47777,0.84718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60633,0.00299776,0.000999252,0.00299776,0.000999252,0.00299776,0.000999252,0.00299776,0.000999252
9,1036.93,0.77236,0.37409,0.79994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46896,0.05916,0.37624,0.42485,0.92185,0.86668,0.90671,0.61892,1.06942,0.47511,0.84437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61892,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
10,1154.51,0.77585,0.37645,0.80197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4688,0.05932,0.3767,0.42496,0.90771,0.85192,0.89154,0.60904,1.06822,0.4808,0.8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60904,0.00299629,0.000998764,0.00299629,0.000998764,0.00299629,0.000998764,0.00299629,0.000998764
