epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,158.461,2.86301,3.53489,1.61903,0,0.0295,1.54154,0.62035,2.01027,0.32847,0,1.54154,2.27436,0.73283,0.48753,0.06298,0.46771,0.48762,0.13731,0.15833,0.08775,0.02896,2.94201,3.59872,1.45214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02896,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,315.69,2.81688,2.42969,1.45229,0,0.02174,0.40499,0.23091,0.9777,0.34632,0,0.40499,2.62952,2.22453,0.49322,0.06243,0.47661,0.49312,0.13839,0.15829,0.07991,0.02614,3.03182,2.91673,1.51836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02614,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,488.526,2.93582,2.39103,1.52148,0,0.01562,0.12279,0.17326,0.94757,0.08988,0,0.12279,2.56745,2.44466,0.49184,0.05893,0.47739,0.491,0.08495,0.1459,0.03906,0.01032,3.2105,7.53423,1.82036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01032,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,646.871,2.94876,2.3616,1.53052,0,0.01121,0.06645,0.16368,0.93152,0.04688,0,0.06645,2.53815,2.47171,0.49187,0.06538,0.48552,0.49083,0.20411,0.19459,0.12733,0.04546,2.88612,2.7164,1.55667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04546,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,802.835,2.81389,2.2025,1.49055,0,0.00869,0.03893,0.1588,0.88179,0.0651,0,0.03893,2.50393,2.465,0.48992,0.07071,0.48434,0.48791,0.322,0.17527,0.14746,0.0544,2.8218,2.69368,1.46008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,953.128,2.74707,2.10356,1.45931,0,0.00772,0.03234,0.15778,0.85611,0.08743,0,0.03234,2.48528,2.45294,0.48867,0.07092,0.48171,0.48611,0.61376,0.20875,0.19898,0.07737,2.81054,2.00057,1.47977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07737,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1102.87,2.69106,2.00723,1.42853,0,0.00721,0.02916,0.15728,0.83351,0.11863,0,0.02916,2.47177,2.44261,0.48774,0.07127,0.48129,0.48392,0.33665,0.21584,0.20086,0.07815,2.82139,1.93823,1.46212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07815,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1252.42,2.63107,1.95883,1.40896,0,0.00684,0.02577,0.15675,0.80682,0.14721,0,0.02577,2.47026,2.44448,0.48901,0.07057,0.4864,0.48651,0.34057,0.26563,0.23206,0.09078,2.64992,2.10847,1.36675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09078,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1402.04,2.60752,1.92199,1.398,0,0.00658,0.02479,0.15673,0.79382,0.17391,0,0.02479,2.44711,2.42232,0.49517,0.07168,0.49186,0.49347,0.64423,0.23469,0.23376,0.09404,2.65732,1.91055,1.37037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09404,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1551.65,2.57475,1.87161,1.37716,0,0.00634,0.02299,0.15637,0.77951,0.19929,0,0.02299,2.43567,2.41268,0.49306,0.07238,0.49481,0.49267,0.44953,0.25105,0.24549,0.09946,2.557,1.83246,1.30015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09946,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
