epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,170.259,2.85045,3.52713,1.62468,0,0.01259,1.54008,0.61878,1.48705,0.5063,0,1.54008,2.26927,0.72918,0.48275,0.05589,0.48454,0.48244,0.18566,0.15466,0.08785,0.02954,2.99239,2.58051,1.45873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02954,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,345.881,2.81682,2.4215,1.46063,0,0.01245,0.42681,0.23518,0.90874,0.64877,0,0.42681,2.63453,2.20773,0.48273,0.05734,0.49643,0.48259,0.52775,0.12772,0.08981,0.02792,2.85216,2.86411,1.53584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02792,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,538.134,2.93113,2.40033,1.5387,0,0.01156,0.13379,0.17544,0.91153,0.36668,0,0.13379,2.6338,2.5,0.4765,0.0578,0.50553,0.47616,0.38886,0.06351,0.01808,0.00406,3.44008,5.25966,1.99487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,734.98,2.94504,2.3842,1.56921,0,0.0109,0.07106,0.16432,0.90751,0.26682,0,0.07106,2.58117,2.51012,0.47164,0.06066,0.49992,0.47,0.2215,0.17737,0.09575,0.02755,2.91773,2.97699,1.57178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02755,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,897.049,2.82811,2.23597,1.52212,0,0.01028,0.04186,0.15926,0.87763,0.24239,0,0.04186,2.55096,2.5091,0.47728,0.0629,0.5055,0.47261,0.21437,0.19157,0.10568,0.03528,3.02287,2.31297,1.51897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03528,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1072.88,2.74182,2.11333,1.47487,0,0.00962,0.03141,0.15757,0.84253,0.20707,0,0.03141,2.55209,2.52068,0.48005,0.0638,0.50468,0.47716,0.28765,0.20636,0.20411,0.07487,2.78823,1.9843,1.47057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07487,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1249.76,2.6966,2.03742,1.45793,0,0.00912,0.02847,0.15716,0.83179,0.19452,0,0.02847,2.54555,2.51708,0.48374,0.06566,0.50829,0.48112,0.31952,0.23405,0.2002,0.07411,2.74493,1.90843,1.50895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07411,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1430.99,2.64043,1.97378,1.43866,0,0.0087,0.02607,0.15689,0.8094,0.13052,0,0.02607,2.55614,2.53007,0.4846,0.06557,0.50514,0.48359,0.45692,0.23303,0.2152,0.08193,2.62248,2.0206,1.37532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08193,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1597.02,2.61861,1.93859,1.41948,0,0.00829,0.02284,0.1563,0.79796,0.15321,0,0.02284,2.53152,2.50868,0.48377,0.06533,0.50616,0.48328,0.45942,0.25593,0.24777,0.10549,2.58406,1.78272,1.3523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10549,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1770.17,2.58146,1.88887,1.39271,0,0.00802,0.02253,0.15625,0.7863,0.17169,0,0.02253,2.52189,2.49937,0.48139,0.06586,0.49746,0.47978,0.34199,0.28385,0.25515,0.106,2.57071,1.86865,1.30207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1946.64,2.55617,1.86014,1.38338,0,0.0078,0.02155,0.1561,0.78178,0.2054,0,0.02155,2.51202,2.49047,0.48415,0.0661,0.50108,0.48371,0.63661,0.26909,0.26184,0.10913,2.51426,1.75306,1.30672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10913,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2125.76,2.52593,1.82539,1.37212,0,0.00758,0.02033,0.15592,0.77225,0.23363,0,0.02033,2.50778,2.48745,0.48662,0.06528,0.5045,0.48646,0.42101,0.29523,0.28093,0.11883,2.4729,1.74415,1.31422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11883,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2291.44,2.51059,1.79885,1.35914,0,0.00739,0.02037,0.15593,0.76615,0.27114,0,0.02037,2.49561,2.47525,0.48443,0.06579,0.50149,0.48414,0.39921,0.31496,0.29417,0.12351,2.51385,1.7118,1.31818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12351,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2460.67,2.48838,1.76573,1.34534,0,0.00728,0.01988,0.15585,0.7663,0.28865,0,0.01988,2.48602,2.46614,0.48214,0.06487,0.50043,0.48186,0.411,0.32401,0.30444,0.13087,2.47305,1.70876,1.2915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13087,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2629.83,2.47398,1.7444,1.34439,0,0.00717,0.01931,0.15577,0.75844,0.31234,0,0.01931,2.48553,2.46622,0.48415,0.06556,0.50357,0.48401,0.36222,0.34221,0.30797,0.13461,2.47629,1.69538,1.27282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13461,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,2805.95,2.45374,1.71666,1.32746,0,0.00704,0.01863,0.15567,0.75463,0.34007,0,0.01863,2.47855,2.45993,0.48313,0.06588,0.50228,0.48297,0.39412,0.34313,0.31956,0.13757,2.4848,1.64255,1.27135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13757,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,2980.89,2.4229,1.69579,1.3139,0,0.00697,0.01876,0.15569,0.74778,0.35929,0,0.01876,2.46744,2.44869,0.4798,0.06625,0.49299,0.47954,0.42226,0.34948,0.33474,0.14574,2.44309,1.60288,1.26805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14574,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,3143.8,2.41442,1.67072,1.30953,0,0.00685,0.01869,0.15568,0.74011,0.39951,0,0.01869,2.46059,2.4419,0.47925,0.06705,0.49769,0.47896,0.4628,0.30117,0.32299,0.15045,2.38296,1.64307,1.27383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15045,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,3316.37,2.40186,1.65212,1.29482,0,0.00677,0.01839,0.15563,0.73664,0.43436,0,0.01839,2.44736,2.42897,0.47875,0.06743,0.49878,0.47846,0.44293,0.37383,0.35321,0.15772,2.38416,1.57356,1.24222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15772,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,3490.93,2.39511,1.63808,1.2955,0,0.00671,0.01816,0.1556,0.73619,0.44472,0,0.01816,2.42886,2.4107,0.48063,0.06826,0.49729,0.4805,0.40859,0.36013,0.3442,0.15523,2.35863,1.55225,1.25748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15523,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,3659.93,2.38254,1.61692,1.29368,0,0.00661,0.01814,0.1556,0.72787,0.45373,0,0.01814,2.4219,2.40376,0.47884,0.068,0.49297,0.47873,0.431,0.36811,0.35898,0.17061,2.34325,1.51016,1.22133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17061,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,3834.11,2.36328,1.60183,1.27846,0,0.00655,0.01759,0.15552,0.72916,0.47201,0,0.01759,2.41324,2.39565,0.47719,0.06693,0.49251,0.47689,0.39016,0.35121,0.333,0.15128,2.45457,1.54675,1.25073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15128,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
