               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094885,           0.0077858,            0.013901,             0.54826,             0.26217,             0.17506,            0.060828,            0.068854,           0.0065127,           0.0051372,             0.07013,           0.0033188,           0.0033188
                   1,            0.066075,           0.0077203,           0.0048406,             0.40788,             0.45214,             0.31426,             0.10385,            0.059475,           0.0054875,           0.0031068,            0.040114,           0.0066357,           0.0066357
                   2,            0.065539,            0.007167,           0.0041552,             0.27786,             0.34654,             0.14982,            0.042169,            0.074182,            0.011791,            0.020799,            0.010081,           0.0099361,           0.0099361
                   3,            0.068444,           0.0071293,           0.0044705,             0.55438,             0.34777,              0.3512,             0.11818,            0.063519,           0.0068364,           0.0063332,           0.0099258,           0.0099258,           0.0099258
                   4,            0.064702,           0.0069091,            0.003603,             0.51315,             0.45521,             0.39573,             0.14375,            0.057457,           0.0049354,           0.0017428,           0.0099258,           0.0099258,           0.0099258
                   5,            0.061233,           0.0068075,           0.0032134,             0.58683,               0.474,             0.45882,             0.18696,            0.052575,           0.0045416,           0.0019116,            0.009901,            0.009901,            0.009901
                   6,            0.059691,           0.0065957,           0.0028931,             0.61051,             0.41598,             0.40977,             0.15542,            0.057948,            0.005256,           0.0041257,           0.0098763,           0.0098763,           0.0098763
                   7,            0.058569,           0.0064991,           0.0027006,             0.64315,             0.35601,             0.43095,             0.15617,            0.051768,           0.0054622,            0.002621,           0.0098515,           0.0098515,           0.0098515
                   8,            0.057773,           0.0064652,           0.0029067,             0.66302,              0.5499,             0.56758,             0.23771,            0.046799,           0.0043754,           0.0014855,           0.0098268,           0.0098268,           0.0098268
                   9,            0.056348,           0.0064857,           0.0026798,             0.67257,             0.53723,             0.54533,             0.22694,            0.047496,           0.0045284,           0.0013751,            0.009802,            0.009802,            0.009802
                  10,              0.0559,            0.006232,           0.0023792,             0.62797,             0.54573,             0.54224,             0.22997,            0.047114,           0.0044342,           0.0015031,           0.0097773,           0.0097773,           0.0097773
                  11,            0.055065,           0.0062413,           0.0022435,              0.5816,             0.51103,             0.48972,              0.2013,            0.049578,           0.0042572,           0.0016522,           0.0097525,           0.0097525,           0.0097525
                  12,            0.054709,           0.0062668,           0.0023771,             0.69003,             0.59103,             0.60087,             0.25505,            0.045701,           0.0042617,           0.0013841,           0.0097278,           0.0097278,           0.0097278
                  13,            0.054358,           0.0063663,           0.0023672,             0.67298,              0.5818,             0.58896,             0.25846,            0.045057,           0.0044445,           0.0013239,            0.009703,            0.009703,            0.009703
                  14,            0.053611,           0.0061528,           0.0021344,             0.71097,             0.62097,              0.6539,              0.2991,            0.043653,           0.0040831,           0.0013444,           0.0096783,           0.0096783,           0.0096783
                  15,            0.053326,           0.0060938,           0.0021339,             0.65601,             0.61523,             0.60895,             0.26702,            0.043143,           0.0040502,           0.0015435,           0.0096535,           0.0096535,           0.0096535
                  16,            0.052627,           0.0059898,           0.0021911,             0.66819,             0.60849,              0.6116,             0.27054,            0.043411,           0.0041594,           0.0011278,           0.0096288,           0.0096288,           0.0096288
                  17,            0.052595,           0.0060581,           0.0021003,             0.70785,             0.63866,              0.6513,             0.29257,            0.041673,           0.0039569,           0.0011451,            0.009604,            0.009604,            0.009604
                  18,            0.051761,           0.0060465,           0.0019119,             0.70537,             0.62691,              0.6418,             0.28702,            0.041903,           0.0040114,           0.0010711,           0.0095793,           0.0095793,           0.0095793
                  19,            0.051402,           0.0060152,           0.0020732,             0.71266,             0.65517,              0.6649,             0.30204,            0.041336,           0.0040258,          0.00099845,           0.0095545,           0.0095545,           0.0095545
