epoch,mode,student_box_loss,student_obj_loss,student_cls_loss,teacher_box_loss,teacher_obj_loss,teacher_cls_loss,kd_total_loss,lld_loss,fld_loss,rld_loss,ccl_loss,kd_to_student_det_ratio,atkd_weight,ccl_weight,atkd_loss,weighted_atkd_loss,weighted_ccl_loss,kd_scale,weighted_kd_to_student_det_ratio,cop_valid_candidates,cop_positive_candidates,cop_positive_ratio,cop_class0_count,cop_class1_count,cop_class2_count,neg_candidates_mean,temperature_mean,temperature_min,temperature_max,feature_capture_ok,student_feature_levels,teacher_feature_levels,nan_or_inf_detected
0,paper_atkd_only,0.10989271849393845,0.03898311033844948,0.266591876745224,0.10701867192983627,0.03832000121474266,0.1858040690422058,2.0398614406585693,0.032504480332136154,1.7026846408843994,0.30467134714126587,0.0,0.20434898674114726,1.0,0.0,2.0398602622007234,2.0398602622007234,0.0,0.0,0.0,799.8257080610022,691.2788671023965,0.867880634240961,493.1830065359477,145.67755991285404,52.41830065359477,545.0345078678173,3.4395616366193185,3.278744778082521,3.665949294769686,1.0,3.0,3.0,0.0
1,paper_atkd_only,0.09475963562726974,0.039897479116916656,0.151130810379982,0.08801858872175217,0.039237525314092636,0.0837579146027565,2.22346830368042,0.02076226845383644,1.8861533403396606,0.31655117869377136,0.0,0.261208849599938,1.0,0.0,2.2234665444993245,2.2234665444993245,0.0,0.33333333333333326,0.08706961896002682,792.8082788671024,755.0196078431372,0.9533238179732598,506.75816993464053,173.2941176470588,74.9673202614379,526.2825130554066,2.9495444204293046,2.843004359658767,3.0844439426538472,1.0,3.0,3.0,0.0
2,paper_atkd_only,0.09068571776151657,0.042878247797489166,0.17710819840431213,0.08620411902666092,0.04262589290738106,0.11457846313714981,1.3311302661895752,0.018139364197850227,1.0359246730804443,0.2770656645298004,0.0,0.1428729770644233,1.0,0.0,1.3311289452779267,1.3311289452779267,0.0,0.6666666666666665,0.09524865422909166,800.3246187363834,746.2113289760349,0.933200107897396,502.7429193899782,166.958605664488,76.50980392156863,533.7073492577912,3.033258720161089,2.9081325806304,3.1943103971045,1.0,3.0,3.0,0.0
3,paper_atkd_only,0.09350935369729996,0.0445474348962307,0.21760565042495728,0.09557433426380157,0.04407217353582382,0.1607283502817154,1.0679367780685425,0.01689511351287365,0.7234740257263184,0.327568382024765,0.0,0.09883264134067855,1.0,0.0,1.0679362812982405,1.0679362812982405,0.0,1.0,0.09883264134067855,799.4814814814815,711.7450980392157,0.8922993425429351,487.6928104575163,160.33333333333334,63.71895424836601,546.0733623296867,3.201991843242271,3.02193399192461,3.4256038743686053,1.0,3.0,3.0,0.0
4,paper_atkd_only,0.09161075204610825,0.04436926171183586,0.20373672246932983,0.09485235065221786,0.043113864958286285,0.1606932431459427,1.2062675952911377,0.01599126309156418,0.8825434446334839,0.30773434042930603,0.0,0.11777747770637469,1.0,0.0,1.2062682262692836,1.2062682262692836,0.0,1.0,0.11777747770637469,804.4270152505446,722.8496732026143,0.8994549745886287,490.0,161.9847494553377,70.86492374727669,545.8035719129774,3.168959332447426,2.992270834305707,3.3974616361339627,1.0,3.0,3.0,0.0
5,paper_atkd_only,0.0900169163942337,0.04456351324915886,0.1801127791404724,0.08954930305480957,0.043065235018730164,0.12554892897605896,0.8864863514900208,0.01599186658859253,0.605238676071167,0.26525548100471497,0.0,0.09270610636372062,1.0,0.0,0.8864863814222007,0.8864863814222007,0.0,1.0,0.09270610636372062,801.1546840958606,735.3267973856209,0.9192958441993364,492.161220043573,163.89978213507626,79.26579520697167,542.1136676065283,3.0973778238483503,2.9425585114098842,3.3000218951364486,1.0,3.0,3.0,0.0
6,paper_atkd_only,0.0886017456650734,0.044880181550979614,0.16923660039901733,0.08659250289201736,0.04329712688922882,0.1103934645652771,0.7710761427879333,0.016916021704673767,0.5081164836883545,0.24604403972625732,0.0,0.084744113333085,1.0,0.0,0.7710762942019111,0.7710762942019111,0.0,1.0,0.084744113333085,806.718954248366,749.9193899782135,0.9302237030129539,499.16993464052285,171.27233115468408,79.47712418300654,537.8086551674571,3.0516186913633656,2.911619948925276,3.234018427094603,1.0,3.0,3.0,0.0
7,paper_atkd_only,0.08696847409009933,0.04416917264461517,0.1589280664920807,0.08423071354627609,0.043366238474845886,0.10862696915864944,0.53870689868927,0.015433348715305328,0.3027767539024353,0.2204970419406891,0.0,0.06330534487491989,1.0,0.0,0.5387066069641404,0.5387066069641404,0.0,1.0,0.06330534487491989,803.5228758169935,750.3769063180828,0.9343910286876712,508.5315904139434,166.35511982570807,75.49019607843137,534.9473646242894,3.038465720116443,2.9034505768279364,3.2128530296624875,1.0,3.0,3.0,0.0
8,paper_atkd_only,0.08660342544317245,0.04377551004290581,0.15049950778484344,0.08221395313739777,0.043183740228414536,0.09969770908355713,0.4831404983997345,0.015611435286700726,0.2521253228187561,0.21540360152721405,0.0,0.05782423468107816,1.0,0.0,0.4831402561828202,0.4831402561828202,0.0,1.0,0.05782423468107816,801.6514161220043,752.4945533769063,0.9400109663464551,505.29847494553377,165.40958605664488,81.78649237472767,533.3827303219465,3.0145550974054274,2.8811616835251352,3.1906532768590257,1.0,3.0,3.0,0.0
9,paper_atkd_only,0.08461999893188477,0.04407498240470886,0.14234328269958496,0.08014126121997833,0.04348312318325043,0.09305862337350845,0.4280419945716858,0.01564919389784336,0.20482991635799408,0.20756271481513977,0.0,0.05289236432821987,1.0,0.0,0.428041663889272,0.428041663889272,0.0,1.0,0.05289236432821987,801.6732026143791,754.0326797385621,0.9412547015095911,503.28322440087146,169.2156862745098,81.53376906318083,534.1645016472844,3.0149979290099966,2.8800514705300593,3.1897220850510277,1.0,3.0,3.0,0.0
