epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,563.585,2.08289,1.52614,1.12501,0,0,0,0,0,0,1.20106,0.04467,0.00432,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54346,0.24801,0,0,0.49461,0.06243,0.49219,0.49447,0.63711,0.55938,0.57978,0.31579,1.88102,1.03759,1.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31579,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,1102.88,1.90794,1.189,1.03987,0,0,0,0,0,0,0.27363,0.02839,0.00201,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51725,0.26611,0,0,0.4946,0.06248,0.4915,0.49445,0.58575,0.541,0.5532,0.29881,1.90565,1.05486,1.01743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29881,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,1641.19,2.02068,1.27878,1.06597,0,0,0,0,0,0,0.23944,0.01577,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58432,0.28794,0,0,0.49466,0.06244,0.49111,0.49453,0.48077,0.40673,0.39311,0.18655,2.30401,1.39775,1.13508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18655,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,2188.25,2.18378,1.44543,1.12864,0,0,0,0,0,0,0.23963,0.00987,0.00076,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59867,0.26703,0,0,0.49465,0.06245,0.49162,0.49452,0.52905,0.44841,0.4534,0.21969,2.15361,1.36523,1.10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21969,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,2732.62,2.20142,1.45568,1.12763,0,0,0,0,0,0,0.23453,0.00779,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60667,0.25999,0,0,0.4947,0.0625,0.49155,0.49458,0.52332,0.44492,0.43606,0.20696,2.19234,1.38508,1.12833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20696,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,3269.56,2.18676,1.45448,1.12627,0,0,0,0,0,0,0.23041,0.00682,0.00054,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61814,0.26407,0,0,0.4946,0.06241,0.49021,0.49448,0.51996,0.45381,0.45681,0.21724,2.20775,1.37133,1.10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21724,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,3818.95,2.19009,1.43925,1.12457,0,0,0,0,0,0,0.22707,0.00619,0.00049,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66158,0.26502,0,0,0.49448,0.06249,0.49085,0.49437,0.61459,0.39387,0.42216,0.19793,2.26753,1.47752,1.13849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19793,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,4364.89,2.16846,1.42285,1.12138,0,0,0,0,0,0,0.22595,0.00572,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72501,0.26772,0,0,0.49457,0.06243,0.49189,0.49444,0.51041,0.45354,0.45972,0.21755,2.17475,1.31738,1.11257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21755,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,4891.35,2.17304,1.41653,1.12196,0,0,0,0,0,0,0.22447,0.0054,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66254,0.26654,0,0,0.49453,0.06243,0.49139,0.49441,0.55269,0.40948,0.42779,0.2059,2.20961,1.36375,1.11834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2059,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,5449.64,2.16695,1.40281,1.11483,0,0,0,0,0,0,0.22207,0.0051,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72669,0.27156,0,0,0.49441,0.06247,0.49112,0.49429,0.55557,0.44735,0.45084,0.21554,2.19362,1.35091,1.11795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21554,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
