epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,153.508,2.84908,3.46982,1.58982,0,0.02849,0.0156,0.15534,1.99243,0.33429,0.00137,0.0156,2.68402,2.66842,0.48706,0.06289,0.46675,0.48716,0.28571,0.18752,0.15296,0.0571,2.76071,2.48888,1.33789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,308.803,2.78927,2.40852,1.39626,0,0.02046,0.00627,0.15388,1.02301,0.34554,0.00192,0.00627,2.6795,2.67323,0.48772,0.06299,0.46959,0.48779,0.11906,0.18834,0.0901,0.02993,2.83409,4.34325,1.50111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02993,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,467.363,2.90143,2.36298,1.47123,0,0.01503,0.00722,0.15401,0.96247,0.12415,0.00175,0.00722,2.67941,2.67219,0.48949,0.06273,0.47067,0.48878,0.10674,0.09647,0.03751,0.00958,3.22148,4.10835,1.6349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,621.196,2.9166,2.3321,1.5051,0,0.0107,0.00786,0.1541,0.9225,0.07239,0.00135,0.00786,2.59539,2.58753,0.49065,0.06447,0.48422,0.48961,0.5771,0.17141,0.13819,0.04424,2.85825,4.12594,1.51632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04424,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,774.311,2.80017,2.18895,1.45453,0,0.00841,0.00722,0.15409,0.88775,0.08762,0.00114,0.00722,2.55868,2.55146,0.48892,0.06517,0.49149,0.48857,0.24463,0.20894,0.16009,0.05749,2.78747,2.28226,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05749,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,928.07,2.73267,2.0846,1.41416,0,0.00752,0.00593,0.15383,0.86393,0.10853,0.00116,0.00593,2.56233,2.5564,0.48481,0.06851,0.49197,0.48453,0.62218,0.21152,0.21063,0.08341,2.66342,2.0023,1.35603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08341,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1084.4,2.68728,2.02115,1.39247,0,0.00704,0.00526,0.15373,0.84583,0.13548,0.00122,0.00526,2.56688,2.56163,0.48146,0.07168,0.48616,0.48088,0.37027,0.26121,0.23288,0.08889,2.63453,2.10576,1.32512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08889,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1240.38,2.61342,1.95541,1.36417,0,0.00678,0.00554,0.15401,0.82819,0.1655,0.00129,0.00554,2.56614,2.5606,0.48264,0.07286,0.48826,0.48233,0.35691,0.24789,0.23314,0.08959,2.60504,2.13642,1.30616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08959,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1397.12,2.59038,1.91698,1.34916,0,0.00647,0.00445,0.15361,0.80891,0.19591,0.00144,0.00445,2.54898,2.54453,0.48186,0.07218,0.4864,0.48156,0.42817,0.23891,0.23451,0.09523,2.61026,1.84177,1.30353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09523,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1552.66,2.56262,1.87568,1.32709,0,0.00624,0.00405,0.15356,0.80305,0.22249,0.00156,0.00405,2.5244,2.52035,0.48282,0.07229,0.48547,0.48188,0.38915,0.28007,0.26429,0.11238,2.51904,1.80212,1.2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11238,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
