epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2
1,111.949,2.84659,3.63256,1.71619,2.80947,4.49495,1.96241,0,0.534973,0.147888,0.108722,0.038765,nan,nan,nan,nan,nan,nan,nan,0.00332607,0.00332607,0.0700654
2,218.426,2.7307,2.64519,1.46305,2.73135,4.44569,1.90445,0,0.616396,0.196391,0.167323,0.0634011,nan,nan,nan,nan,nan,nan,nan,0.00664292,0.00664292,0.0400489
3,316.362,2.68687,2.43321,1.39041,2.66512,4.41044,1.80191,0.00585,0.281979,0.228925,0.178895,0.0677044,nan,nan,nan,nan,nan,nan,nan,0.00994327,0.00994327,0.0100159
4,414.283,2.6727,2.3404,1.35598,2.51811,4.29251,1.65586,0.00437,0.303508,0.20809,0.184034,0.0751775,nan,nan,nan,nan,nan,nan,nan,0.00992575,0.00992575,0.00992575
5,511.977,2.64229,2.25902,1.32441,2.45043,4.18673,1.53458,0.00661,0.301528,0.1922,0.162797,0.070394,nan,nan,nan,nan,nan,nan,nan,0.009901,0.009901,0.009901
6,609.334,2.60409,2.16431,1.30098,2.38811,4.04859,1.43433,0.02419,0.51774,0.224418,0.232678,0.09641,nan,nan,nan,nan,nan,nan,nan,0.00987625,0.00987625,0.00987625
7,706.903,2.59557,2.14552,1.29013,2.36432,3.81483,1.3801,0.1392,0.368336,0.246018,0.229756,0.0998104,nan,nan,nan,nan,nan,nan,nan,0.0098515,0.0098515,0.0098515
8,807.667,2.60026,2.12642,1.28142,2.37194,3.44725,1.36498,1.99752,0.362933,0.26043,0.229432,0.0923338,nan,nan,nan,nan,nan,nan,nan,0.00982675,0.00982675,0.00982675
9,911.647,2.58165,2.07908,1.27059,2.41797,3.10359,1.36952,2.99919,0.364977,0.265577,0.2418,0.100672,nan,nan,nan,nan,nan,nan,nan,0.009802,0.009802,0.009802
10,1017.37,2.55632,2.04656,1.26161,2.4234,2.88344,1.34704,2.98029,0.416281,0.275725,0.271609,0.113068,nan,nan,nan,nan,nan,nan,nan,0.00977725,0.00977725,0.00977725
11,1121.8,2.53549,2.02213,1.25085,2.39808,2.73423,1.33422,2.95074,0.437577,0.278401,0.287451,0.119532,nan,nan,nan,nan,nan,nan,nan,0.0097525,0.0097525,0.0097525
12,1226.9,2.51234,1.99221,1.24497,2.38218,2.60159,1.31387,2.89338,0.372732,0.297989,0.269951,0.114016,nan,nan,nan,nan,nan,nan,nan,0.00972775,0.00972775,0.00972775
13,1332.36,2.5188,1.9819,1.24358,2.38376,2.52909,1.29388,2.85112,0.366745,0.271964,0.255238,0.109194,nan,nan,nan,nan,nan,nan,nan,0.009703,0.009703,0.009703
14,1437.33,2.50819,1.9731,1.24009,2.37523,2.48529,1.28702,2.74042,0.405364,0.30977,0.294727,0.126294,nan,nan,nan,nan,nan,nan,nan,0.00967825,0.00967825,0.00967825
15,1543.42,2.50922,1.9494,1.23266,2.36347,2.41009,1.27232,2.70569,0.419128,0.30882,0.293337,0.12383,nan,nan,nan,nan,nan,nan,nan,0.0096535,0.0096535,0.0096535
16,1651.14,2.48917,1.92017,1.22512,2.3306,2.34088,1.25227,2.64158,0.413818,0.314702,0.302701,0.131672,nan,nan,nan,nan,nan,nan,nan,0.00962875,0.00962875,0.00962875
17,1757.4,2.50484,1.94761,1.22267,2.32725,2.31695,1.24512,2.69604,0.445783,0.305861,0.312996,0.14374,nan,nan,nan,nan,nan,nan,nan,0.009604,0.009604,0.009604
18,1862.99,2.47869,1.90516,1.22441,2.3046,2.25628,1.24147,2.64007,0.412529,0.312698,0.317486,0.144868,nan,nan,nan,nan,nan,nan,nan,0.00957925,0.00957925,0.00957925
